OBJECTID,UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,CreationDate,Creator,EditDate,Editor,Shape__Area,Shape__Length,Shape__Acreage,GlobalID
486,ANTI,Lands - http://landsnet.nps.gov/tractsnet/documents/ANTI/Metadata/anti_metadata.xml,Antietam National Battlefield,2020/12/03 00:00:00+00,MD,NC,589057,National Battlefield,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048139,Antietam,2021/01/03 05:00:23.702+00,RJohnson@nps.gov_nps,2021/01/03 05:00:23.702+00,RJohnson@nps.gov_nps,22092941.95,33742.302,3249.049004,17f3cb49-541f-4588-83a5-a126e0cf1b96
259,APIS,Lands - http://landsnet.nps.gov/tractsnet/documents/APIS/Metadata/apis_metadata.xml,Apostle Islands National Lakeshore,2017/08/25 00:00:00+00,WI,MW,1581059,National Lakeshore,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2221817,Apostle Islands,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:36:52.626+00,RJohnson@nps.gov_nps,632060717.2,491129.2255,72777.02156,53bfd06f-6c2f-4c56-ba67-d3a4ed8e47cf
516,APPA,Lands - http://landsnet.nps.gov/tractsnet/documents/APPA/Metadata/appa_metadata.xml,Appalachian National Scenic Trail,2021/03/23 00:00:00+00,ME,NT,2766084,National Scenic Trail,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2259619,Appalachian,2021/04/03 05:06:11.022+00,RJohnson@nps.gov_nps,2021/04/03 05:06:11.022+00,RJohnson@nps.gov_nps,2227421810,8994801.204,316425.9504,2aa5f30a-165a-444b-8af9-d2182975e246
98,APCO,Lands - http://landsnet.nps.gov/tractsnet/documents/APCO/Metadata/apco_metadata.xml,Appomattox Court House National Historical Park,2010/10/07 00:00:00+00,VA,NE,1462531,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2166449,Appomattox Court House,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:18:26.553+00,RJohnson@nps.gov_nps,11419907.15,29122.16427,1778.676381,b1f8beff-7c88-4c43-8dba-741f9aae38fa
300,ARCH,Lands - http://landsnet.nps.gov/tractsnet/documents/ARCH/Metadata/arch_metadata.xml,Arches National Park,2018/04/09 00:00:00+00,UT,IM,1455716,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2239940,Arches,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:41:30.422+00,RJohnson@nps.gov_nps,509081047.1,167803.6944,76458.19051,d9948b03-f89d-4596-b99d-e32f99dd8f7b
101,ARPO,Lands - http://landsnet.nps.gov/tractsnet/documents/ARPO/Metadata/arpo_metadata.xml,Arkansas Post National Memorial,2010/12/13 00:00:00+00,AR,MW,2733432,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2167744,Arkansas Post,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:18:48.865+00,RJohnson@nps.gov_nps,4505848.727,14849.87239,763.2574801,b48fed48-8965-4be1-bc7f-efb7d4333789
499,ARHO,Lands - http://landsnet.nps.gov/tractsnet/documents/ARHO/Metadata/arho_metadata.xml,"Arlington House, The Robert E. Lee Memorial",2021/01/22 00:00:00+00,VA,NC,1888900,National Memorial,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048142,"Arlington House, The Robert E. Lee Memorial",2021/04/02 03:39:48.068+00,RJohnson@nps.gov_nps,2021/04/02 03:39:48.068+00,RJohnson@nps.gov_nps,114601.207,2501.229014,17.13552104,aec2a5a1-3f92-4c33-b883-12591f2d4a10
393,ASIS,PRELIMINARY - Data has not completed the entire Lands QA/QC process.,Assateague Island National Seashore,2013/12/18 00:00:00+00,MD,NE,589056,National Seashore,Lands,Preliminary data. Contact the Land Resources Program for additional information.,Assateague Island,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,279576044.5,176295.2699,42758.99469,b42196ac-5394-4771-979e-d8a74254bb04
247,AZRU,Lands - http://landsnet.nps.gov/tractsnet/documents/AZRU/Metadata/azru_metadata.xml,Aztec Ruins National Monument,2017/06/22 00:00:00+00,NM,IM,885961,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2192754,Aztec Ruins,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:35:38.873+00,RJohnson@nps.gov_nps,2004409.141,8141.442074,316.6652687,08f277d3-c06e-40eb-a6ed-2ecd4a60671b
363,BADL,Lands - http://landsnet.nps.gov/tractsnet/documents/BADL/Metadata/badl_metadata.xml,Badlands National Park,2019/07/19 00:00:00+00,SD,MW,1265096,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2224522,Badlands,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:49:16.085+00,RJohnson@nps.gov_nps,1879080612,549503.378,242735.7444,fc2f136f-9317-4391-90ba-69c4fcf0c585
221,BAND,Lands - http://landsnet.nps.gov/tractsnet/documents/BAND/Metadata/band_metadata.xml,Bandelier National Monument,2016/04/26 00:00:00+00,NM,IM,928874,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2194464,Bandelier,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:32:40.824+00,RJohnson@nps.gov_nps,207550769.6,96236.63676,33683.63595,e92e3183-1b01-4347-804d-84e7ba8676f4
230,BEPA,Lands - http://landsnet.nps.gov/tractsnet/documents/BEPA/Metadata/bepa_metadata.xml,Belmont-Paul Women's Equality National Monument,2016/09/13 00:00:00+00,DC,NC,2781517,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2235426,Belmont-Paul Women's Equality,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:33:40.178+00,RJohnson@nps.gov_nps,2306.464844,192.5155367,0.344770867,d9c22090-1ccc-437d-be8f-4ef93d2b4b64
453,BEOL,Lands - http://landsnet.nps.gov/tractsnet/documents/BEOL/Metadata/beol_metadata.xml,Bent's Old Fort National Historic Site,2020/09/22 00:00:00+00,CO,IM,2559483,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2166446,Bent's Old Fort,2020/10/03 02:17:37.647+00,RJohnson@nps.gov_nps,2020/10/03 02:17:37.647+00,RJohnson@nps.gov_nps,5420545.254,10127.93065,829.4903597,407c756b-a483-4d59-af2e-f4d339bee861
334,BELA,Lands - http://landsnet.nps.gov/tractsnet/documents/BELA/Metadata/BELA_metadata.xml,Bering Land Bridge National Preserve,2019/03/21 00:00:00+00,AK,AK,1416037,National Preserve,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2225684,Bering Land Bridge,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:45:52.426+00,RJohnson@nps.gov_nps,67597384710,2294617.881,2785109.207,0c4454ba-5822-429c-8c59-1dae213c1a79
289,BIBE,Lands - http://landsnet.nps.gov/tractsnet/documents/bibe/Metadata/bibe_metadata.xml,Big Bend National Park,2018/01/09 00:00:00+00,TX,IM,1377082,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2239592,Big Bend,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:40:15.648+00,RJohnson@nps.gov_nps,4329893757,462145.8168,810878.1015,d6842ad9-88f8-4d92-a42e-70f13a0c2c35
379,BICY,Lands - http://landsnet.nps.gov/tractsnet/documents/BICY/Metadata/bicy_metadata.xml,Big Cypress National Preserve,2019/09/26 00:00:00+00,FL,SE,302659,National Preserve,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2266795,Big Cypress,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:50:51.115+00,RJohnson@nps.gov_nps,3659385200,296738.815,727814.1057,c91064be-e22d-4381-8256-300054b050a4
201,BIHO,Lands - http://landsnet.nps.gov/tractsnet/documents/BIHO/Metadata/BIHO_metadata.xml,Big Hole National Battlefield,2015/11/06 00:00:00+00,MT,PW,779820,National Battlefield,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2225687,Big Hole,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:30:22.953+00,RJohnson@nps.gov_nps,8092191.977,12680.04452,977.3883618,6333bc87-429d-4237-8935-b100a46e532e
416,BISO,PRELIMINARY - Data has not completed the entire Lands QA/QC process.,Big South Fork National River and Recreation Area,2013/12/18 00:00:00+00,TN,SE,1309762,National River and Recreation Area,Lands,Preliminary data. Contact the Land Resources Program for additional information.,Big South Fork,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,769133447.9,349536.181,122460.6017,105139ed-12b3-4322-a3a5-61a933b8626f
277,BITH,Lands - http://landsnet.nps.gov/tractsnet/documents/bith/Metadata/bith_metadata.xml,Big Thicket National Preserve,2018/03/27 00:00:00+00,TX,IM,1888902,National Preserve,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2239597,Big Thicket,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:38:57.563+00,RJohnson@nps.gov_nps,617771864.4,1142445.744,113139.5931,56025e3d-ca2e-485d-b004-572d9426ae2b
141,BICA,Lands - http://landsnet.nps.gov/tractsnet/documents/BICA/Metadata/bica_metadata.xml,Bighorn Canyon National Recreation Area,2012/01/11 00:00:00+00,WY,IM,767934,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2182227,Bighorn Canyon,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:23:37.719+00,RJohnson@nps.gov_nps,974301199.1,432691.0987,119828.0065,7e62c884-4aed-4c5f-87f8-697be07bfff9
270,BICR,Lands - http://landsnet.nps.gov/tractsnet/documents/BICR/METADATA/bicr_metadata.xml,Birmingham Civil Rights National Monument,2017/10/24 00:00:00+00,AL,SE,2783289,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2249526,Birmingham Civil Rights,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:38:08.844+00,RJohnson@nps.gov_nps,5140.585938,287.1621243,0.880662913,23d42152-bb84-4407-87db-c77ccc66c299
100,BISC,Lands - http://landsnet.nps.gov/tractsnet/documents/BISC/Metadata/bisc_metadata.xml,Biscayne National Park,2010/12/02 00:00:00+00,FL,SE,294450,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2167747,Biscayne,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:18:38.752+00,RJohnson@nps.gov_nps,867063857.4,143915.1633,173836.4991,f214654f-4f29-4918-8aea-f31f688af35c
282,BLCA,Lands - http://landsnet.nps.gov/tractsnet/documents/BLCA/Metadata/blca_metadata.xml,Black Canyon of the Gunnison National Park,2018/02/15 00:00:00+00,CO,IM,203271,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047909,Black Canyon of the Gunnison,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:39:31.025+00,RJohnson@nps.gov_nps,207094307.7,113089.804,31227.96861,95f62809-3370-426b-8645-0cb3605ba045
514,BLRI,Lands - http://landsnet.nps.gov/tractsnet/documents/BLRI/Metadata/blri_metadata.xml,Blue Ridge Parkway,2021/03/23 00:00:00+00,NC,NT,1009494,Parkway,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2285011,Blue Ridge Parkway,2021/04/03 03:57:47.621+00,RJohnson@nps.gov_nps,2021/04/03 03:57:47.621+00,RJohnson@nps.gov_nps,639229688.2,2277368.259,101864.5926,38e6323e-5c18-415f-b3c6-eeb86fd22b18
401,BLUE,PRELIMINARY - Data has not completed the entire Lands QA/QC process.,Bluestone National Scenic River,2013/12/18 00:00:00+00,WV,NE,1877617,National Scenic River,Lands,Preliminary data. Contact the Land Resources Program for additional information.,Bluestone,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,27851054.69,59931.22601,4316.597175,3b49e07a-cc46-4963-8df0-9e214bd6993e
83,BOWA,Lands - http://landsnet.nps.gov/tractsnet/documents/BOWA/Metadata/bowa_metadata.xml,Booker T. Washington National Monument,2010/06/07 00:00:00+00,VA,NE,1477005,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2165302,Booker T Washington,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:16:38.762+00,RJohnson@nps.gov_nps,1555430.488,8349.615262,243.957306,21fb8c4b-47b0-44d2-bfa7-718a58b17225
63,BOAF,Lands - http://landsnet.nps.gov/tractsnet/documents/BOAF/Metadata/boaf_metadata.xml,Boston African American National Historic Site,2009/03/12 00:00:00+00,MA,NE,1888904,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048143,Boston African American,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:14:13.988+00,RJohnson@nps.gov_nps,4361.292969,852.3333047,0.588082457,b0b718ae-0ec1-4491-8d12-2c74932bc361
27,BOHA,Lands - http://landsnet.nps.gov/tractsnet/documents/BOHA/Metadata/boha_metadata.xml,Boston Harbor Islands National Recreation Area,2006/08/14 00:00:00+00,MA,NE,606990,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047911,Boston Harbor Islands,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:09:41.519+00,RJohnson@nps.gov_nps,11811974.86,89000.91622,1595.260479,7ae5f143-be8b-4973-b014-7f002eb05c37
182,BOST,Lands - http://landsnet.nps.gov/tractsnet/documents/BOST/Metadata/bost_metadata.xml,Boston National Historical Park,2015/02/09 00:00:00+00,MA,NE,600140,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2221816,Boston,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:28:12.286+00,RJohnson@nps.gov_nps,325688.1641,7018.560445,43.90171377,1b711f2c-8b23-4a7f-b10d-93df349d567c
18,BRCR,Lands - http://landsnet.nps.gov/tractsnet/documents/BRCR/Metadata/brcr_metadata.xml,Brices Cross Roads National Battlefield Site,2005/10/13 00:00:00+00,MS,SE,667556,National Battlefield Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047914,Brices Cross Roads,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:08:19.744+00,RJohnson@nps.gov_nps,5930.15625,342.1653772,0.992710291,63b109c8-9a06-4bf6-a34a-105f70c9339a
31,BRVB,Lands - http://landsnet.nps.gov/tractsnet/documents/BRVB/Metadata/brvb_metadata.xml,Brown v. Board of Education National Historic Site,2006/11/01 00:00:00+00,KS,MW,2510335,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048389,Brown V Board Of Education,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:10:11.451+00,RJohnson@nps.gov_nps,13754.13672,828.3294384,2.047610217,ea2aa0a4-aee5-46b6-aff4-6a4e825b149f
44,BRCA,Lands - http://landsnet.nps.gov/tractsnet/documents/BRCA/Metadata/brca_metadata.xml,Bryce Canyon National Park,2008/03/27 00:00:00+00,UT,IM,1450197,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047913,Bryce Canyon,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:11:47.437+00,RJohnson@nps.gov_nps,232305571,127086.2074,35986.97523,6a1c2967-59cc-496e-a8f6-22c501fd3720
25,BUIS,Lands - http://landsnet.nps.gov/tractsnet/documents/BUIS/Metadata/buis_metadata.xml,Buck Island Reef National Monument,2006/03/20 00:00:00+00,VI,SE,1613756,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047917,Buck Island Reef,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:09:24.415+00,RJohnson@nps.gov_nps,85236901.41,35451.99565,18987.9403,fc28835c-d2b6-45c5-8d67-a5a738b8a1df
445,BUFF,Lands - http://landsnet.nps.gov/tractsnet/documents/BUFF/Metadata/buff_metadata.xml,Buffalo National River,2020/06/17 00:00:00+00,AR,MW,74272,National River,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047916,Buffalo,2020/06/30 08:33:28.837+00,RJohnson@nps.gov_nps,2020/06/30 08:33:28.837+00,RJohnson@nps.gov_nps,580190529.8,458781.74,93543.25815,f5fc70c0-a370-42cc-a3ac-398a8ed72ee6
54,CABR,Lands - http://landsnet.nps.gov/tractsnet/documents/CABR/Metadata/cabr_metadata.xml,Cabrillo National Monument,2008/08/28 00:00:00+00,CA,PW,255957,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047918,Cabrillo,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:13:07.462+00,RJohnson@nps.gov_nps,916420.543,6086.741434,160.0093233,cd8d5757-b1be-45c2-9fcd-f28cd040c2e8
454,CANE,Lands - http://landsnet.nps.gov/tractsnet/documents/CANE/Metadata/cane_metadata.xml,Camp Nelson National Monument,2020/09/23 00:00:00+00,KY,SE,2795910,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2259620,Camp Nelson,2020/10/03 02:19:50.177+00,RJohnson@nps.gov_nps,2020/10/03 02:19:50.177+00,RJohnson@nps.gov_nps,3007931.957,10590.35388,463.3710823,7fe3d7f3-42a7-4549-86d1-4ad6a06c0d56
52,CANA,Lands - http://landsnet.nps.gov/tractsnet/documents/CANA/Metadata/cana_metadata.xml,Canaveral National Seashore,2008/07/30 00:00:00+00,FL,SE,307730,National Seashore,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048145,Canaveral,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:12:49.358+00,RJohnson@nps.gov_nps,309112930.1,112604.0437,58460.01493,d8eca179-4c53-468f-9d6d-ed1dde0ce51c
69,CARI,Lands - http://landsnet.nps.gov/tractsnet/documents/CARI/Metadata/cari_metadata.xml,Cane River Creole National Historical Park,2009/07/28 00:00:00+00,LA,SE,2733428,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047922,Cane River Creole,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:14:57.933+00,RJohnson@nps.gov_nps,1153290.922,6188.268901,205.8740046,51dbb8c0-94f2-4775-954b-773fcefe2b7e
202,CACH,Lands - http://landsnet.nps.gov/tractsnet/documents/CACH/Metadata/CACH_metadata.xml,Canyon de Chelly National Monument,2010/12/14 00:00:00+00,AZ,IM,44981,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2225688,Canyon de Chelly,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:30:30.492+00,RJohnson@nps.gov_nps,548633511.1,324228.8868,88228.00392,d60451e5-339b-4d66-ab9a-8b39f9a281de
81,CANY,Lands - http://landsnet.nps.gov/tractsnet/documents/CANY/Metadata/cany_metadata.xml,Canyonlands National Park,2010/04/26 00:00:00+00,UT,IM,1448008,National Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2165304,Canyonlands,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:16:24.037+00,RJohnson@nps.gov_nps,2196490657,353937.3585,334248.2128,b883c39f-895b-4e27-9c95-281d94099647
203,CACO,Lands - http://landsnet.nps.gov/tractsnet/documents/CACO/METADATA/caco_metadata.xml,Cape Cod National Seashore,2016/03/24 00:00:00+00,MA,NE,606900,National Seashore,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2229062,Cape Cod,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:30:35.266+00,RJohnson@nps.gov_nps,324147362.3,261994.3898,44309.20922,fd9d1297-c357-44c6-8bdb-59c26a989474
414,CAHA,PRELIMINARY - Data has not completed the entire Lands QA/QC process.,Cape Hatteras National Seashore,2013/12/18 00:00:00+00,NC,SE,982628,National Seashore,Lands,Preliminary data. Contact the Land Resources Program for additional information.,Cape Hatteras,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,190369152.7,345532.7823,31131.73586,0018f465-5f5d-4e3b-b1e6-6a0ecceab903
338,CAKR,Lands - http://landsnet.nps.gov/tractsnet/documents/CAKR/Metadata/CAKR_metadata.xml,Cape Krusenstern National Monument,2019/03/21 00:00:00+00,AK,AK,1416038,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2225689,Cape Krusenstern,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:46:18.813+00,RJohnson@nps.gov_nps,17732641956,997377.4546,649475.1372,a07a9e79-db7a-426b-a696-21d5909aca9f
