X,Y,OBJECTID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME,CreationDate,Creator,EditDate,Editor,GlobalID
-9298091.94237838,4247009.55005209,19,GRSM,Great Smoky Mountains National Park,2013/12/18 00:00:00+00,NC,SE,1018241,National Park,Lands,Great Smoky Mountains,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,ad6971c9-7e0b-48ff-ac70-c825b72a16cd
-9888266.96027465,6108762.73423534,20,ISRO,Isle Royale National Park,2013/12/18 00:00:00+00,MI,MW,1616980,National Park,Lands,Isle Royale,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,95dfd01c-59f7-4a79-8f1a-96212b7e2e51
-7938924.62186297,5257426.09183993,21,LOWE,Lowell National Historical Park,2013/12/18 00:00:00+00,MA,NE,1888940,National Historical Park,Lands,Lowell,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,5413fcc8-dc37-4376-bf6c-b65781dbd945
-12944011.5444595,5747445.07663545,22,NEPE,Nez Perce National Historical Park,2013/12/18 00:00:00+00,WA,PW,394735,National Historical Park,Lands,Nez Perce,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,9595b8f4-7cd0-4cee-bf32-3c05230ece12
-9015733.03266971,4556886.44341181,23,NERI,New River Gorge National River,2013/12/18 00:00:00+00,VA,NE,1877618,National River,Lands,New River Gorge,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,3f491462-50ad-442e-96d2-17c4044a5047
-10175575.1752558,3846996.21577741,25,POPO,Poverty Point National Monument,2013/12/18 00:00:00+00,LA,SE,1888953,National Monument,Lands,Poverty Point,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,07143914-5b46-4acc-91cb-bdeb95fca88b
-13807159.8018034,5067423.43096008,26,REDW,Redwood National Park,2013/12/18 00:00:00+00,CA,PW,277109,National Park,Lands,Redwood,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,6f646ec7-d28b-4c69-876e-59e19966eeae
-7360165.1535451,2092499.89079156,27,SAJU,San Juan National Historic Site,2013/12/18 00:00:00+00,PR,SE,1879024,National Historic Site,Lands,San Juan,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,6494ae23-45e0-4b96-a98a-c2a68732fe8f
-8758194.78771256,4619210.81656525,28,SHEN,Shenandoah National Park,2013/12/18 00:00:00+00,VA,NE,1488805,National Park,Lands,Shenandoah,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,76969b2a-6b49-488f-a887-a7c4b59a4625
-8423587.56607091,5072647.30452973,30,STEA,Steamtown National Historic Site,2013/12/18 00:00:00+00,PA,NE,1877509,National Historic Site,Lands,Steamtown,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,6fb4756c-0ee9-4725-87db-f170b82f42da
-9069356.04561843,3559086.94715614,31,TIMU,Timucuan Ecological and Historic Preserve,2013/12/18 00:00:00+00,FL,SE,2733416,Ecological and Historic Preserve,Lands,Timucuan,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,de2d1565-83a8-4f72-8eba-7162cd9cb36e
-10112607.9877085,3811254.9416541,32,VICK,Vicksburg National Military Park,2013/12/18 00:00:00+00,LA,SE,679217,National Military Park,Lands,Vicksburg,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,b9514324-2ee4-498d-850e-2a6d16f14a21
-8718107.12311113,4720581.31200091,33,CEBE,Cedar Creek and Belle Grove National Historical Park,2005/04/07 00:00:00+00,VA,NE,1985663,National Historical Park,Lands,Cedar Creek & Belle Grove,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,d6737cef-5b42-4c93-a5ae-b1d7cab675d4
-11958902.3714824,5710921.82622649,34,LIBI,Little Bighorn Battlefield National Monument,2005/02/23 00:00:00+00,MT,IM,806297,National Monument,Lands,Little Bighorn Battlefield,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,773ccfc3-4646-4ab5-bc58-972d9a85ac38
-11574004.5955218,4408724.47145824,35,CAVO,Capulin Volcano National Monument,2004/07/22 00:00:00+00,NM,IM,936867,National Monument,Lands,Capulin Volcano,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,15ae3b82-e1ba-4673-87e9-edf6fddc637a
-12184045.4347592,3782919.89667928,36,FOBO,Fort Bowie National Historic Site,2004/05/12 00:00:00+00,AZ,IM,1888916,National Historic Site,Lands,Fort Bowie,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,ebf8b0ab-efa3-40c4-b665-3f38096633b8
-12052929.2979449,3925555.20451301,37,GICL,Gila Cliff Dwellings National Monument,2004/05/10 00:00:00+00,NM,IM,928945,National Monument,Lands,Gila Cliff Dwellings,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,dcc1aa11-1eca-4020-81e8-2e912bd1eb5a
-12470890.7917699,4133071.18870406,38,TUZI,Tuzigoot National Monument,2003/11/21 00:00:00+00,AZ,IM,35601,National Monument,Lands,Tuzigoot,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,95976713-69b2-44b3-a74c-0ff05567a4db
-12098866.3364795,4473865.6903592,39,YUHO,Yucca House National Monument,2003/11/19 00:00:00+00,CO,IM,202628,National Monument,Lands,Yucca House,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,596622a5-7e68-4adb-9c21-c018aa9fce16
-8600939.7631061,4712785.87347017,40,WOTR,Wolf Trap National Park for the Performing Arts,2004/11/03 00:00:00+00,VA,NC,1888974,Other Designation,Lands,Wolf Trap NP for the Performing Arts,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/05/21 02:59:18.451+00,RJohnson@nps.gov_nps,d6e26c95-ea3d-43d7-bb10-74babb4205c4
-9051629.90194554,3490427.78804483,41,CASA,Castillo de San Marcos National Monument,2005/02/28 00:00:00+00,FL,SE,307911,National Monument,Lands,Castillo de San Marcos,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,1631d993-2304-477a-9b5f-983216d44840
-12435434.1957542,4930148.38543371,42,TICA,Timpanogos Cave National Monument,2005/04/14 00:00:00+00,UT,IM,1446610,National Monument,Lands,Timpanogos Cave,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,078186da-73be-4ce0-8fd0-07cadd71b298
-8578549.51875294,4706763.8548505,43,THIS,Theodore Roosevelt Island National Memorial,2005/05/31 00:00:00+00,DC,NC,2733420,National Memorial,Lands,Theodore Roosevelt Island,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,f708b45c-ec88-4179-aee2-28effbb98eb6
-8577329.36134713,4704295.25654478,44,LYBA,Lyndon Baines Johnson Memorial Grove on the Potomac,2005/05/31 00:00:00+00,DC,NC,530776,National Memorial,Lands,Lyndon Baines Johnson Memorial Grove,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,6410b7cb-97a4-4723-831a-8bd068f4cda6
-9307017.50058406,4387834.70436552,46,CUGA,Cumberland Gap National Historical Park,2005/07/12 00:00:00+00,KY,SE,490476,National Historical Park,Lands,Cumberland Gap,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,a1907b58-ed0e-4053-8514-f3c16d0c9ff5
-9878167.86176073,4063172.48235186,48,TUPE,Tupelo National Battlefield,2005/10/13 00:00:00+00,MS,SE,1888969,National Battlefield,Lands,Tupelo,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,a56b4cc6-8139-4634-a167-5c43b6e368c5
-9877255.84476226,4096966.54544732,49,BRCR,Brices Cross Roads National Battlefield Site,2005/10/13 00:00:00+00,MS,SE,667556,National Battlefield Site,Lands,Brices Cross Roads,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,76999b1d-b95d-4c2f-98b1-1a949bba27fb
-13678913.5588212,4587214.8116675,50,PORE,Point Reyes National Seashore,2005/10/25 00:00:00+00,CA,PW,234493,National Seashore,Lands,Point Reyes,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,c9d032a2-39e1-49c0-8225-2bdddbf30196
-8892127.0649549,3862644.05735717,51,FOSU,Fort Sumter and Fort Moultrie National Historical Park,2005/11/03 00:00:00+00,SC,SE,1222505,National Historical Park,Lands,Fort Sumter and Fort Moultrie,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2021/01/10 21:50:12.152+00,RJohnson@nps.gov_nps,e1c6323d-d689-4cab-8ed9-90fe1872848c
-12369106.4264635,3981692.51367192,52,TONT,Tonto National Monument,2006/02/23 00:00:00+00,AZ,IM,35382,National Monument,Lands,Tonto,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,ad2be6ad-98d1-4384-bcdc-abfd2266beea
-8229484.73555478,5126297.51936912,53,HOFR,Home of Franklin D. Roosevelt National Historic Site,2006/03/07 00:00:00+00,NY,NE,1888929,National Historic Site,Lands,Home of Franklin D Roosevelt,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,5be3b0b7-3fab-4198-8947-7675e55cdba2
-9130019.91324743,4047984.99601215,54,NISI,Ninety Six National Historic Site,2006/03/20 00:00:00+00,SC,SE,1227788,National Historic Site,Lands,Ninety Six,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,0e9c359c-48d1-44cf-960e-e3758dce21ca
-8886064.84314959,3874851.72487122,55,CHPI,Charles Pinckney National Historic Site,2006/03/20 00:00:00+00,SC,SE,1252725,National Historic Site,Lands,Charles Pinckney,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,6cbf0ed2-6379-4e19-b142-e27b6b75dcf7
-7193712.14656966,2015352.8705521,56,BUIS,Buck Island Reef National Monument,2006/03/20 00:00:00+00,VI,SE,1613756,National Monument,Lands,Buck Island Reef,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,6dabc0d9-f241-4ab0-956b-b58f85a52432
-8574307.08420681,4708915.77085661,57,CAWO,Carter G. Woodson National Historic Site,2006/03/22 00:00:00+00,MD,NC,2085144,National Historic Site,Lands,Carter G. Woodson Home,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,7caf1c1d-57cf-4c33-b157-b81de8b9b90d
-7889444.71809084,5200369.82857337,58,BOHA,Boston Harbor Islands National Recreation Area,2006/08/14 00:00:00+00,MA,NE,606990,National Recreation Area,Lands,Boston Harbor Islands,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,7213ec3e-96a2-4a12-b1e8-70e63b88dc59
-12413279.5107368,4214433.84950851,59,SUCR,Sunset Crater Volcano National Monument,2006/08/11 00:00:00+00,AZ,IM,34968,National Monument,Lands,Sunset Crater Volcano,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,c691e39e-63a3-4f0d-990a-7f434b6985a1
-8575048.06913998,4708529.25574747,60,MABE,Mary McLeod Bethune Council House National Historic Site,2006/09/21 00:00:00+00,DC,NC,2733422,National Historic Site,Lands,Mary McLeod Bethune Council House,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,5f5c6cac-2e97-4d4a-9acd-237a1904e2aa
-8574457.47578711,4706881.23294497,61,FOTH,Ford's Theatre National Historic Site,2006/09/21 00:00:00+00,DC,NC,530748,National Historic Site,Lands,Ford's Theatre,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,6e498f9b-186e-4a43-9eab-469cefc7d694
-10650649.8365538,4727107.54167608,62,BRVB,Brown v. Board of Education National Historic Site,2006/11/01 00:00:00+00,KS,MW,2510335,National Historic Site,Lands,Brown V Board Of Education,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,da2cce8a-4517-4a07-a76b-57b1c13afc1b
-12550144.7120176,4420004.56943468,63,PISP,Pipe Spring National Monument,2006/12/07 00:00:00+00,AZ,IM,9526,National Monument,Lands,Pipe Spring,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,fd6de04f-1472-4482-a630-05eaecac202a
-12061067.0545877,4169177.5532575,64,ELMO,El Morro National Monument,2006/12/11 00:00:00+00,NM,IM,906062,National Monument,Lands,El Morro,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,6a108979-20d7-4365-92f9-1de8ccc2214d
-9221500.05055915,4322021.16394536,65,ANJO,Andrew Johnson National Historic Site,2007/01/24 00:00:00+00,TN,SE,1304837,National Historic Site,Lands,Andrew Johnson,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,a47a278a-7387-4098-974e-e5f3921a8f81
-8218247.58765248,4996548.9168786,66,SAPA,Saint Paul's Church National Historic Site,2007/02/09 00:00:00+00,NY,NE,1888959,National Historic Site,Lands,Saint Paul's Church,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,983b014d-4cb5-44f1-a8a3-01190ee10cec
-8239513.26887986,4968703.83502236,67,CACL,Castle Clinton National Monument,2007/02/16 00:00:00+00,NY,NE,945983,National Monument,Lands,Castle Clinton,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2f2baf80-68e2-4155-baab-04059ba11dcb
-12330023.66315,5139486.86714006,68,FOBU,Fossil Butte National Monument,2007/02/22 00:00:00+00,WY,IM,1605065,National Monument,Lands,Fossil Butte,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,f5f18f79-6510-4e69-93a2-3e76006a05c1
-12141950.9144289,4492958.82645916,69,HOVE,Hovenweep National Monument,2007/04/06 00:00:00+00,UT,IM,202599,National Monument,Lands,Hovenweep,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,a023dfff-8327-46f6-84fb-d476532277a7
-11689885.381781,4287884.06403763,70,FOUN,Fort Union National Monument,2007/05/15 00:00:00+00,NM,IM,889156,National Monument,Lands,Fort Union,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,94526d76-3552-4880-bd89-ff525ab40ba0
-9533893.83533605,4524756.11770131,71,ABLI,Abraham Lincoln Birthplace National Historical Park,2007/10/03 00:00:00+00,KY,SE,496556,National Historical Park,Lands,Abraham Lincoln Birthplace,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,6d899f68-0c06-4d79-a061-92f9a84c0c7c
-9225245.12095041,2832675.67833085,72,DRTO,Dry Tortugas National Park,2007/11/07 00:00:00+00,FL,SE,307632,National Park,Lands,Dry Tortugas,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,c57199c6-25e0-4fbd-b3ec-b6625b4aaed7
-9060276.18742736,3661816.9714412,73,FOFR,Fort Frederica National Monument,2007/12/05 00:00:00+00,GA,SE,314290,National Monument,Lands,Fort Frederica,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,126cccbf-9e91-4249-b92a-70f7cc0c8f3d
-13152924.3917009,4400927.26835024,74,MANZ,Manzanar National Historic Site,2008/03/04 00:00:00+00,CA,PW,1804731,National Historic Site,Lands,Manzanar,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,8300cd0b-698d-46f9-8c2e-bb6175ed1126
-12488118.8466533,4520824.09454446,75,BRCA,Bryce Canyon National Park,2008/03/27 00:00:00+00,UT,IM,1450197,National Park,Lands,Bryce Canyon,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,f4c8b085-10e9-4785-87e6-c27d26d463a6
-12326190.3171561,5479182.08316849,76,JODR,"John D. Rockefeller, Jr., Memorial Parkway",2008/04/14 00:00:00+00,WY,IM,1604577,National Parkway,Lands,John D Rockefeller Jr,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,85d75094-3ff4-47f9-a076-ae6f0f0a1907
-8264339.23715157,4980824.68686193,77,EDIS,Thomas Edison National Historical Park,2008/04/22 00:00:00+00,NJ,NE,874901,National Historical Park,Lands,Thomas Edison,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,a3b34e2b-f08d-4c8e-b0ba-7ec1c4122c06
-12306055.9596458,5558494.48105479,78,YELL,Yellowstone National Park,2008/04/23 00:00:00+00,WY,IM,1609331,National Park,Lands,Yellowstone,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,bc5a2089-b548-4d17-9d02-f09593b93a55
-12196159.2073965,4260417.78244812,79,HUTR,Hubbell Trading Post National Historic Site,2008/05/13 00:00:00+00,AZ,IM,6092,National Historic Site,Lands,Hubbell Trading Post,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,d238e2c8-8dd6-485e-bb83-2ffa4e6c6365
-11850450.810153,3732803.93961416,80,CHAM,Chamizal National Memorial,2008/05/20 00:00:00+00,TX,IM,1888906,National Memorial,Lands,Chamizal,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,bd047ae3-926b-42e0-907d-8316fe712a89
-17345934.1254327,2276315.6616157,81,PUHE,Pu'ukohola Heiau National Historic Site,2008/06/18 00:00:00+00,HI,PW,1877550,National Historic Site,Lands,Puukohola Heiau,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,dd44c7aa-3174-41c0-937d-74f70460325e
-10057905.0999959,4657676.99926887,82,ULSG,Ulysses S. Grant National Historic Site,2008/07/01 00:00:00+00,MO,MW,2733425,National Historic Site,Lands,Ulysses S Grant,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,641f4a4e-fbd9-48cc-9193-7b4ea59de2b9
-8989513.18640964,3348481.58059342,83,CANA,Canaveral National Seashore,2008/07/30 00:00:00+00,FL,SE,307730,National Seashore,Lands,Canaveral,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,808647d1-5c46-46e6-98a0-89992e0ff47a
-8238124.37229263,4970329.72659711,84,AFBG,African Burial Ground National Monument,2008/08/19 00:00:00+00,NY,NE,2060434,National Monument,Lands,African Burial Ground,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,e63bf885-1143-4770-9941-19117776d271
-13051276.3760586,3851881.66856315,85,CABR,Cabrillo National Monument,2008/08/28 00:00:00+00,CA,PW,255957,National Monument,Lands,Cabrillo,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,1c8f5240-b7bb-4b12-a824-0a87f08520e0
-8587196.56528104,4717036.85510597,86,CLBA,Clara Barton National Historic Site,2008/11/17 00:00:00+00,MD,NC,2733426,National Historic Site,Lands,Clara Barton,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,222653e1-ffa3-40e9-bfb3-804fec84deef
-8574801.57632872,4680527.95642292,87,FOWA,Fort Washington Park,2008/11/17 00:00:00+00,MD,NC,597426,Other Designation,Lands,Fort Washington,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,21b38200-f1cf-4025-a67d-35b967e03dde
